sample_id,year,sample_type,species,tl,sl,weight,d13C_raw,d15N_raw,C_percent,N_percent,CN_ratio,d13C_corrected,family,trophic_guild,log_tl,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
DA_AR_MO_03_16_001,2016,Fishes,Dascyllus aruanus,7.063899999999999,5.3843000000000005,7.8,-12.0772426901182,9.91639556606606,46.9235382601862,13.2395161174478,3.5442034167961505,-11.26065698557954,Pomacentridae,omnivores-pelagic,1.9549973069160669,3.1773701396939353,McCutchan,1.3,2.9,-14.091238167181658,3.6020221609536476
DA_AR_MO_03_16_002,2016,Fishes,Dascyllus aruanus,6.718500000000001,5.005,6.5,-12.5343666761574,10.0284874172273,46.8699811044702,13.2660981595972,3.53306454849067,-11.72520666023488,Pomacentridae,omnivores-pelagic,1.9048649153333275,3.1773701396939353,McCutchan,1.3,2.9,-14.555787841836995,3.714114012114888
DA_AR_MO_03_16_003,2016,Fishes,Dascyllus aruanus,6.3114,5.0377,5.8,-11.7916733934784,9.37379164938302,51.1958880105886,14.3165964208294,3.57598178405749,-10.953925264802368,Pomacentridae,omnivores-pelagic,1.8423575219911463,3.1773701396939353,McCutchan,1.3,2.9,-13.784506446404485,3.0594182442706073
DA_AR_MO_03_16_004,2016,Fishes,Dascyllus aruanus,6.5416,4.9041,5.4,-12.2392073658244,9.98781692255816,44.8709698887613,12.7781794723553,3.5115307298536944,-11.44441443079228,Pomacentridae,omnivores-pelagic,1.8781817838656305,3.1773701396939353,McCutchan,1.3,2.9,-14.274995612394395,3.6734435174457483
DA_AR_MO_03_16_005,2016,Fishes,Dascyllus aruanus,6.1618,4.7257,4.6,-11.3047138092828,8.90161712590747,45.8915939440363,12.9544560191046,3.5425334631078003,-10.48924111240893,Pomacentridae,omnivores-pelagic,1.8183689426532543,3.1773701396939353,McCutchan,1.3,2.9,-13.319822294011047,2.5872437207950574
DA_AR_MO_03_16_006,2016,Fishes,Dascyllus aruanus,6.3131,4.7603,5,-11.7042977131632,9.31427385230627,48.7645433320504,13.6059988958546,3.5840472798294662,-10.861183762674969,Pomacentridae,omnivores-pelagic,1.842626839589511,3.1773701396939353,McCutchan,1.3,2.9,-13.691764944277086,2.999900447193858
DA_AR_MO_03_16_007,2016,Fishes,Dascyllus aruanus,6.0622,4.8223,5.5,-12.132651658123,10.0612222056195,45.4302201877548,12.8216679533857,3.5432379276175574,-11.316709431365176,Pomacentridae,omnivores-pelagic,1.802072770503119,3.1773701396939353,McCutchan,1.3,2.9,-14.147290612967293,3.746848800507089
DA_AR_MO_03_16_008,2016,Fishes,Dascyllus aruanus,6.0280000000000005,4.5629,4.6,-11.9994570234962,8.92542424473817,47.5967072091791,13.1981169055612,3.606325625826485,-11.14153284001507,Pomacentridae,omnivores-pelagic,1.796415280764249,3.1773701396939353,McCutchan,1.3,2.9,-13.972114021617188,2.611050839625759
DA_AR_MO_03_16_009,2016,Fishes,Dascyllus aruanus,6.1187,4.8053,4.6,-13.8183629539598,9.00081345436872,53.4347720524246,13.1492340849698,4.063717453589414,-12.659942003235395,Pomacentridae,omnivores-pelagic,1.8113496556596185,3.1773701396939353,McCutchan,1.3,2.9,-15.49052318483751,2.6864400492563076
DA_AR_MO_03_16_010,2016,Fishes,Dascyllus aruanus,5.8874,4.5309,4.1,-12.7453469774063,9.66344492848987,49.7027969844512,13.9148466542896,3.5719255999942385,-11.910298161430301,Pomacentridae,omnivores-pelagic,1.772814474060283,3.1773701396939353,McCutchan,1.3,2.9,-14.740879343032418,3.349071523377458
DA_AR_MO_03_16_011,2016,Fishes,Dascyllus aruanus,5.6828,4.4823,3.5,-12.352156415988,9.58408786572087,46.6860018119256,12.7675308428504,3.6566194659376103,-11.46085778623743,Pomacentridae,omnivores-pelagic,1.737444069015785,3.1773701396939353,McCutchan,1.3,2.9,-14.291438967839547,3.2697144606084576
